Time	Status	Genotype	Treatment
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
24	1	ms771/tm6b	pe
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
168	0	bw;st;+/tm6b	uc
24	1	bw;st;+/tm6b	pe
24	1	bw;st;+/tm6b	pe
24	1	bw;st;+/tm6b	pe
24	1	bw;st;+/tm6b	pe
48	1	bw;st;+/tm6b	pe
48	1	bw;st;+/tm6b	pe
48	1	bw;st;+/tm6b	pe
48	1	bw;st;+/tm6b	pe
48	1	bw;st;+/tm6b	pe
48	1	bw;st;+/tm6b	pe
48	1	bw;st;+/tm6b	pe
48	1	bw;st;+/tm6b	pe
48	1	bw;st;+/tm6b	pe
72	1	bw;st;+/tm6b	pe
72	1	bw;st;+/tm6b	pe
72	1	bw;st;+/tm6b	pe
72	1	bw;st;+/tm6b	pe
72	1	bw;st;+/tm6b	pe
96	1	bw;st;+/tm6b	pe
168	1	bw;st;+/tm6b	pe
168	1	bw;st;+/tm6b	pe
168	0	bw;st;+/tm6b	pe
168	0	bw;st;+/tm6b	pe
168	0	bw;st;+/tm6b	pe
168	0	bw;st;+/tm6b	pe
168	0	bw;st;+/tm6b	pe
168	0	bw;st;+/tm6b	pe
168	0	bw;st;+/tm6b	pe
168	1	bw;st;+/ms771	uc
168	1	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
168	0	bw;st;+/ms771	uc
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
24	1	bw;st;+/ms771	pe
48	1	bw;st;+/ms771	pe
48	1	bw;st;+/ms771	pe
48	1	bw;st;+/ms771	pe
48	1	bw;st;+/ms771	pe
48	1	bw;st;+/ms771	pe
48	1	bw;st;+/ms771	pe
72	1	bw;st;+/ms771	pe
120	1	bw;st;+/ms771	pe
144	1	bw;st;+/ms771	pe
24	1	bw;st	uc
168	1	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
168	0	bw;st	uc
24	1	bw;st	pe
24	1	bw;st	pe
24	1	bw;st	pe
24	1	bw;st	pe
24	1	bw;st	pe
24	1	bw;st	pe
24	1	bw;st	pe
24	1	bw;st	pe
24	1	bw;st	pe
24	1	bw;st	pe
48	1	bw;st	pe
48	1	bw;st	pe
48	1	bw;st	pe
48	1	bw;st	pe
48	1	bw;st	pe
48	1	bw;st	pe
48	1	bw;st	pe
48	1	bw;st	pe
72	1	bw;st	pe
144	1	bw;st	pe
144	1	bw;st	pe
168	1	bw;st	pe
168	1	bw;st	pe
168	1	bw;st	pe
168	1	bw;st	pe
168	1	bw;st	pe
168	0	bw;st	pe
168	0	bw;st	pe
168	0	bw;st	pe
168	1	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
168	0	yw	uc
4	1	yw	pe
4	1	yw	pe
4	1	yw	pe
4	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
24	1	yw	pe
48	1	yw	pe
72	1	yw	pe
72	1	yw	pe
168	0	yw	pe
144	1	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
168	0	fer1del	uc
24	1	fer1del	pe
24	1	fer1del	pe
48	1	fer1del	pe
48	1	fer1del	pe
48	1	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
168	0	fer1del	pe
